time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,4,2,0,0
2026-09-04 00:00:00+00:00,2,2,8,1
2026-09-05 00:00:00+00:00,1,1,0,0
2026-09-06 00:00:00+00:00,1,1,0,0
2026-09-07 00:00:00+00:00,6,6,0,0
2026-09-08 00:00:00+00:00,283,61,5,2
2026-09-09 00:00:00+00:00,93,26,0,0
2026-09-10 00:00:00+00:00,29,17,0,0
2026-09-11 00:00:00+00:00,73,19,3,1
2026-09-12 00:00:00+00:00,52,19,0,0
2026-09-13 00:00:00+00:00,3,3,0,0
2026-09-14 00:00:00+00:00,73,20,0,0
2026-09-15 00:00:00+00:00,12,6,1,1
2026-09-16 00:00:00+00:00,78,31,0,0
