time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-21 00:00:00+00:00,0,0,0,0
2026-08-22 00:00:00+00:00,243,1,0,0
2026-08-23 00:00:00+00:00,81,1,0,0
2026-08-24 00:00:00+00:00,100,7,17,1
2026-08-25 00:00:00+00:00,41,11,0,0
2026-08-26 00:00:00+00:00,159,37,24,1
2026-08-27 00:00:00+00:00,261,78,0,0
2026-08-28 00:00:00+00:00,104,42,46,1
2026-08-29 00:00:00+00:00,19,11,0,0
2026-08-30 00:00:00+00:00,1,1,6,1
2026-08-31 00:00:00+00:00,6,5,4,1
2026-09-01 00:00:00+00:00,50,8,0,0
2026-09-02 00:00:00+00:00,71,11,0,0
2026-09-03 00:00:00+00:00,4,2,0,0
2026-09-04 00:00:00+00:00,2,2,8,1
2026-09-05 00:00:00+00:00,1,1,0,0
2026-09-06 00:00:00+00:00,1,1,0,0
2026-09-07 00:00:00+00:00,6,6,0,0
2026-09-08 00:00:00+00:00,283,61,5,2
2026-09-09 00:00:00+00:00,93,26,0,0
