date,repository_id,repository,category,default_branch,commits_total,first_party_commits,automation_commits,other_commits,workflow_runs_total,workflow_runs_success,workflow_runs_failure,workflow_runs_other
2026-08-17,core,FAROTECH/orbitfabric,core,main,2,2,0,0,4,4,0,0
2026-08-17,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-17,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-17,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-17,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-17,studio,FAROTECH/orbitfabric-studio,product,main,52,51,1,0,0,0,0,0
2026-08-18,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-18,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-18,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-18,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-18,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-18,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-08-19,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-19,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-19,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-19,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-19,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-19,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-08-20,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-20,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-20,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-20,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-20,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-20,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-08-21,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-21,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-21,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-21,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-21,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-21,studio,FAROTECH/orbitfabric-studio,product,main,0,0,0,0,0,0,0,0
2026-08-22,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-22,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-22,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-22,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-22,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-22,studio,FAROTECH/orbitfabric-studio,product,main,43,40,3,0,0,0,0,0
2026-08-23,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-23,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-23,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-23,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-23,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-23,studio,FAROTECH/orbitfabric-studio,product,main,14,12,2,0,0,0,0,0
2026-08-24,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-24,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-24,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-24,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-24,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-24,studio,FAROTECH/orbitfabric-studio,product,main,28,28,0,0,4,3,0,1
2026-08-25,core,FAROTECH/orbitfabric,core,main,0,0,0,0,0,0,0,0
2026-08-25,fprime-adapter,FAROTECH/orbitfabric-fprime-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-25,openc3-cosmos-adapter,FAROTECH/orbitfabric-openc3-cosmos-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-25,openobsw-opensvf-adapter,FAROTECH/orbitfabric-openobsw-opensvf-adapter,adapter,main,0,0,0,0,0,0,0,0
2026-08-25,reference-mission,FAROTECH/orbitfabric-reference-mission,product,main,0,0,0,0,0,0,0,0
2026-08-25,studio,FAROTECH/orbitfabric-studio,product,main,2,2,0,0,1,1,0,0
2026-08-26,core,FAROTECH/orbitfabric,core,main,8,8,0,0,16,16,0,0
