date,scope_type,scope_id,repositories_expected,repositories_available,coverage_pct,coverage_complete,clones_total,views_total,clones_unique_repo_sum,views_unique_repo_sum
2026-08-21,ecosystem,ecosystem,6,6,100.0,True,0,0,0,0
2026-08-21,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-21,category,core,1,1,100.0,True,0,0,0,0
2026-08-21,category,product,2,2,100.0,True,0,0,0,0
2026-08-22,ecosystem,ecosystem,6,6,100.0,True,323,0,2,0
2026-08-22,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-22,category,core,1,1,100.0,True,80,0,1,0
2026-08-22,category,product,2,2,100.0,True,243,0,1,0
2026-08-23,ecosystem,ecosystem,6,6,100.0,True,105,3,2,1
2026-08-23,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-23,category,core,1,1,100.0,True,24,3,1,1
2026-08-23,category,product,2,2,100.0,True,81,0,1,0
2026-08-24,ecosystem,ecosystem,6,6,100.0,True,133,17,9,1
2026-08-24,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-24,category,core,1,1,100.0,True,33,0,2,0
2026-08-24,category,product,2,2,100.0,True,100,17,7,1
2026-08-25,ecosystem,ecosystem,6,6,100.0,True,44,0,13,0
2026-08-25,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-25,category,core,1,1,100.0,True,3,0,2,0
2026-08-25,category,product,2,2,100.0,True,41,0,11,0
2026-08-26,ecosystem,ecosystem,6,6,100.0,True,448,39,102,2
2026-08-26,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-26,category,core,1,1,100.0,True,289,15,65,1
2026-08-26,category,product,2,2,100.0,True,159,24,37,1
2026-08-27,ecosystem,ecosystem,6,6,100.0,True,429,0,115,0
2026-08-27,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-27,category,core,1,1,100.0,True,152,0,23,0
2026-08-27,category,product,2,2,100.0,True,277,0,92,0
2026-08-28,ecosystem,ecosystem,6,6,100.0,True,319,150,86,3
2026-08-28,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-28,category,core,1,1,100.0,True,207,84,37,1
2026-08-28,category,product,2,2,100.0,True,112,66,49,2
2026-08-29,ecosystem,ecosystem,6,6,100.0,True,27,4,16,3
2026-08-29,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-29,category,core,1,1,100.0,True,8,2,5,2
2026-08-29,category,product,2,2,100.0,True,19,2,11,1
2026-08-30,ecosystem,ecosystem,6,6,100.0,True,4,8,4,3
2026-08-30,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-30,category,core,1,1,100.0,True,1,2,1,2
2026-08-30,category,product,2,2,100.0,True,3,6,3,1
2026-08-31,ecosystem,ecosystem,6,6,100.0,True,18,15,9,4
2026-08-31,category,adapter,3,3,100.0,True,0,0,0,0
2026-08-31,category,core,1,1,100.0,True,11,8,3,2
2026-08-31,category,product,2,2,100.0,True,7,7,6,2
2026-09-01,ecosystem,ecosystem,6,6,100.0,True,107,1,20,1
2026-09-01,category,adapter,3,3,100.0,True,0,0,0,0
2026-09-01,category,core,1,1,100.0,True,55,1,10,1
2026-09-01,category,product,2,2,100.0,True,52,0,10,0
2026-09-02,ecosystem,ecosystem,6,6,100.0,True,1123,0,243,0
2026-09-02,category,adapter,3,3,100.0,True,142,0,2,0
2026-09-02,category,core,1,1,100.0,True,910,0,230,0
2026-09-02,category,product,2,2,100.0,True,71,0,11,0
2026-09-03,ecosystem,ecosystem,6,6,100.0,True,2338,0,593,0
2026-09-03,category,adapter,3,3,100.0,True,716,0,56,0
2026-09-03,category,core,1,1,100.0,True,1618,0,535,0
2026-09-03,category,product,2,2,100.0,True,4,0,2,0
2026-09-04,ecosystem,ecosystem,6,6,100.0,True,1570,106,489,10
2026-09-04,category,adapter,3,3,100.0,True,262,67,30,6
2026-09-04,category,core,1,1,100.0,True,1305,24,456,2
2026-09-04,category,product,2,2,100.0,True,3,15,3,2
2026-09-05,ecosystem,ecosystem,6,4,66.67,False,529,20,265,1
2026-09-05,category,adapter,3,2,66.67,False,19,0,13,0
2026-09-05,category,core,1,1,100.0,True,509,20,251,1
2026-09-05,category,product,2,1,50.0,False,1,0,1,0
